group,bad_word,count,freq,score,normalized_score
White Woman,pissed,4,1.664025026936405e-05,0.5092578,8.474177243625744e-06
White Man,attack,12,3.271644655768455e-05,0.457512,1.4968166897499374e-05
Black Man,attack,5,3.732150987900367e-05,0.457512,1.7075038627762723e-05
White Woman,attack,4,1.664025026936405e-05,0.457512,7.613114181237285e-06
Black Woman,attack,3,3.542498169709279e-05,0.457512,1.6207354226200315e-05
White Man,death,74,0.0002017514204390547,0.6364068,0.0001283959758770734
Black Man,death,11,8.210732173380806e-05,0.6364068,5.225365788118324e-05
White Woman,death,41,0.00017056256526098152,0.6364068,0.00010854717635753242
Black Woman,death,10,0.00011808327232364263,0.6364068,7.514899747301798e-05
White Man,adult,22,5.9980152022421674e-05,0.09086495,5.450093514509744e-06
Black Man,adult,6,4.47858118548044e-05,0.09086495,4.069460554896209e-06
White Woman,adult,17,7.072106364479721e-05,0.09086495,6.426065912031317e-06
Black Woman,adult,11,0.0001298915995560069,0.09086495,1.1802593699076588e-05
White Man,gun,3,8.179111639421138e-06,0.24005872,1.96346707089654e-06
Black Man,gun,4,2.9857207903202933e-05,0.24005872,7.16748311201678e-06
White Woman,gun,5,2.0800312836705065e-05,0.24005872,4.993296475178987e-06
Black Woman,gun,2,2.3616654464728527e-05,0.24005872,5.669383841485016e-06
White Man,blow,11,2.9990076011210837e-05,0.1844389,5.5313366304241145e-06
Black Man,blow,2,1.4928603951601466e-05,0.1844389,2.7534152913690275e-06
White Woman,blow,2,8.320125134682025e-06,0.1844389,1.5345547277031046e-06
Black Woman,blow,2,2.3616654464728527e-05,0.1844389,4.355829771154618e-06
White Man,american,13,3.544281710415826e-05,0.09660449,3.4239352705104854e-06
White Woman,american,3,1.2480187702023038e-05,0.09660449,1.2056421680582077e-06
Black Woman,american,2,2.3616654464728527e-05,0.09660449,2.2814748600713222e-06
White Man,murder,42,0.00011450756295189592,0.60584337,6.937364782926377e-05
White Woman,murder,26,0.00010816162675086633,0.60584337,6.552900445542701e-05
Black Woman,murder,7,8.265829062654984e-05,0.60584337,5.007797735162836e-05
White Man,failed,7,1.9084593825315986e-05,0.18877277,3.602651640729795e-06
Black Man,failed,2,1.4928603951601466e-05,0.18877277,2.818113920176755e-06
White Woman,failed,7,2.912043797138709e-05,0.18877277,5.497145739471921e-06
White Man,willy,1,2.7263705464737124e-06,0.13504323,3.681778847726752e-07
White Man,bong,10,2.7263705464737124e-05,0.10562986,2.8798613913214176e-06
Black Man,bong,3,2.23929059274022e-05,0.10562986,2.3653595181046646e-06
White Woman,bong,18,7.488112621213822e-05,0.10562986,7.90968287843049e-06
Black Woman,bong,3,3.542498169709279e-05,0.10562986,3.741935857166474e-06
White Man,dive,15,4.0895558197105685e-05,0.060247928,2.463872645779033e-06
Black Man,dive,1,7.464301975800733e-06,0.060247928,4.497087280083003e-07
White Woman,dive,4,1.664025026936405e-05,0.060247928,1.0025406001306259e-06
Black Woman,dive,4,4.7233308929457055e-05,0.060247928,2.8457089955836856e-06
White Man,poverty,4,1.090548218589485e-05,0.1379214,1.504099370753678e-06
