group,word,categories,count
White Man,other,"['function', 'pronoun', 'ipron', 'cogproc', 'differ']",572
White Man,worlds,[],4
White Man,comic,['leisure'],56
White Man,book,"['work', 'leisure']",119
White Man,same,"['adj', 'compare']",198
White Man,seem,"['verb', 'cogproc', 'insight', 'tentat', 'focuspresent']",69
White Man,recent,"['adj', 'compare', 'relativ', 'time']",24
White Man,memory,"['cogproc', 'insight']",35
White Man,best,"['adj', 'compare', 'affect', 'posemo', 'drives', 'achiev', 'power', 'reward']",485
White Man,introduces,[],7
White Man,audience,[],95
White Man,new,"['adj', 'relativ', 'time']",234
White Man,civilization,[],4
White Man,or,"['function', 'conj', 'cogproc', 'tentat', 'differ']",1064
White Man,leaves,"['relativ', 'motion']",22
White Man,ask,"['verb', 'social', 'focuspresent']",34
White Man,themselves,"['function', 'pronoun', 'ppron', 'they', 'social']",50
White Man,usually,"['function', 'adverb', 'cogproc', 'tentat', 'relativ', 'time']",42
White Man,answer,"['cogproc', 'insight']",9
White Man,case,[],62
White Man,Wakanda,[],7
White Man,walk,"['verb', 'focuspresent', 'relativ', 'motion']",31
White Man,got,"['verb', 'drives', 'reward', 'focuspast']",389
White Man,crash,[],11
White Man,course,['work'],251
White Man,comes,"['verb', 'focuspresent', 'relativ', 'motion']",191
White Man,across,"['function', 'prep', 'relativ', 'space']",78
White Man,beautiful,"['adj', 'affect', 'posemo', 'percept', 'see']",175
White Man,celebratory,"['social', 'drives', 'affiliation', 'achiev', 'leisure']",1
White Man,reviewing,['work'],44
White Man,an,"['function', 'article']",944
White Man,MCU,[],20
White Man,address,['home'],9
White Man,isms,[],2
White Man,tie,[],14
White Man,whole,['quant'],223
White Man,tie-in,[],1
White Man,take,"['verb', 'drives', 'reward', 'focuspresent']",271
White Man,point,"['relativ', 'space']",266
White Man,over,"['function', 'prep', 'drives', 'power', 'relativ', 'space']",341
White Man,standalone,[],6
White Man,aspect,[],42
White Man,humor,"['affect', 'posemo']",133
White Man,for,"['function', 'prep']",2618
White Man,large,"['adj', 'drives', 'power', 'relativ', 'space']",23
White Man,chunk,[],4
White Man,works,"['verb', 'drives', 'achiev', 'focuspresent', 'work']",116
White Man,film,['leisure'],2815
White Man,tie-ins,[],1
White Man,fact,"['cogproc', 'certain']",223
White Man,clause,[],7
White Man,vibranium,[],1
White Man,big,"['adj', 'drives', 'power', 'relativ', 'space']",257
White Man,part,['quant'],230
White Man,Martin,[],47
White Man,Freeman's,[],1
White Man,went,"['verb', 'focuspast', 'relativ', 'motion']",84
White Man,would,"['function', 'auxverb', 'verb', 'cogproc', 'discrep']",575
White Man,gist,[],3
White Man,wouldn't,"['function', 'auxverb', 'negate', 'verb', 'cogproc', 'discrep']",65
White Man,need,"['verb', 'cogproc', 'discrep', 'focuspresent']",141
White Man,watch,"['percept', 'see', 'focuspresent']",344
White Man,another,"['function', 'pronoun', 'ipron', 'quant']",247
White Man,nothing,"['function', 'negate', 'cogproc', 'certain']",107
White Man,else,"['cogproc', 'differ']",116
White Man,felt,"['verb', 'cogproc', 'insight', 'percept', 'feel', 'focuspast']",239
White Man,worked,"['verb', 'drives', 'achiev', 'focuspast', 'work']",59
White Man,override,[],1
White Man,drama,['leisure'],100
White Man,someone's,"['function', 'pronoun', 'ipron', 'social', 'cogproc', 'tentat']",11
White Man,having,"['function', 'auxverb', 'verb']",128
White Man,dramatic,['leisure'],43
